ID,Warehouse Block,Shipment Mode,Customer Care Calls,Customer Rating,Product Cost,Previous Orders,Product Priority,Gender,Discount Offered,Shipment Weight (g),Delivery Status,
6601,D,Ship,6,4,297,5,high,male,6.0%,1631,Delayed,
6602,F,Ship,4,3,274,5,low,male,5.0%,1512,Delayed,
6603,A,Ship,5,5,246,5,medium,male,6.0%,1053,Delayed,
6604,B,Ship,5,3,221,6,medium,female,3.0%,1960,On Time,
6605,C,Ship,6,3,295,4,low,female,10.0%,1495,Delayed,
6606,F,Ship,7,4,259,4,low,male,6.0%,1697,Delayed,
6607,D,Ship,4,4,138,3,medium,female,7.0%,1597,On Time,
6608,F,Ship,3,5,250,2,low,female,9.0%,1205,Delayed,
6609,A,Ship,5,1,236,6,medium,female,4.0%,1705,Delayed,
6610,B,Ship,5,1,267,5,medium,male,10.0%,1505,Delayed,
6611,C,Ship,6,4,283,4,medium,male,1.0%,1384,On Time,
6612,F,Ship,7,1,244,4,low,male,8.0%,1817,On Time,
6613,D,Ship,5,2,260,5,low,male,9.0%,1809,On Time,
6614,F,Ship,5,1,276,5,medium,male,5.0%,1358,On Time,
6615,A,Ship,7,3,307,4,low,male,4.0%,1653,Delayed,
6616,B,Ship,6,5,266,4,low,male,8.0%,1709,Delayed,
6617,C,Ship,5,2,237,5,medium,male,6.0%,1084,Delayed,
6618,F,Ship,4,4,251,6,medium,male,4.0%,1869,Delayed,
6619,D,Ship,4,1,247,6,low,male,4.0%,1349,On Time,
6620,F,Ship,3,3,279,4,low,male,3.0%,4620,Delayed,
6621,A,Ship,5,5,230,3,low,female,10.0%,5163,Delayed,
6622,B,Ship,4,5,234,3,low,female,4.0%,5100,On Time,
6623,C,Ship,6,5,152,4,medium,female,8.0%,5351,Delayed,
6624,F,Ship,3,4,160,4,medium,male,9.0%,4733,On Time,
6625,D,Ship,3,2,263,3,low,female,3.0%,5303,Delayed,
6626,F,Ship,4,1,164,3,low,male,4.0%,5910,Delayed,
6627,A,Ship,3,3,209,2,medium,male,1.0%,5098,On Time,
6628,B,Ship,5,1,245,3,low,female,9.0%,4694,Delayed,
6629,C,Ship,3,4,172,2,low,male,5.0%,5919,Delayed,
6630,F,Ship,2,5,180,6,medium,female,7.0%,4907,On Time,
6631,D,Ship,3,3,145,3,medium,female,8.0%,4522,Delayed,
6632,F,Ship,3,4,248,3,medium,female,6.0%,4932,Delayed,
6633,A,Ship,5,4,242,3,high,female,4.0%,4805,Delayed,
6634,B,Ship,4,3,237,3,medium,female,8.0%,5045,On Time,
6635,C,Ship,4,4,203,2,low,female,4.0%,4793,Delayed,
6636,F,Ship,3,4,186,4,low,male,6.0%,4403,Delayed,
6637,D,Ship,4,1,155,5,low,female,1.0%,5986,Delayed,
6638,F,Ship,3,4,153,4,low,male,5.0%,5604,On Time,
6639,A,Ship,3,2,199,2,medium,male,10.0%,4659,Delayed,
6640,B,Ship,4,5,219,3,medium,male,8.0%,4605,Delayed,
6641,C,Ship,4,1,156,2,low,male,8.0%,5488,Delayed,
6642,F,Ship,5,5,135,2,low,female,1.0%,4324,On Time,
6643,D,Ship,3,4,244,3,medium,male,2.0%,5389,Delayed,
6644,F,Ship,5,1,183,3,low,female,10.0%,5023,Delayed,
6645,A,Ship,4,3,258,2,low,female,3.0%,4555,Delayed,
6646,B,Ship,6,2,168,2,low,male,3.0%,5853,Delayed,
6647,C,Ship,5,1,161,2,medium,female,10.0%,4108,On Time,
6648,F,Ship,4,2,246,2,low,male,2.0%,4497,On Time,
6649,D,Ship,3,3,232,4,medium,male,3.0%,5828,Delayed,
6650,F,Ship,3,3,155,2,medium,female,5.0%,5577,Delayed,
6651,A,Ship,5,5,162,2,medium,male,6.0%,5868,Delayed,
6652,B,Ship,4,3,123,4,medium,male,6.0%,4166,Delayed,
6653,C,Ship,3,4,235,2,low,female,10.0%,4575,Delayed,
6654,F,Ship,5,1,179,2,low,female,3.0%,5417,Delayed,
6655,D,Ship,3,5,202,2,medium,male,3.0%,5746,On Time,
6656,F,Ship,4,5,272,2,medium,female,1.0%,5378,Delayed,
6657,A,Ship,4,2,185,3,medium,male,1.0%,5338,Delayed,
6658,B,Ship,3,3,188,2,medium,female,2.0%,4336,Delayed,
6659,C,Ship,3,2,250,4,low,female,3.0%,5449,On Time,
6660,F,Ship,5,3,224,4,low,male,7.0%,4553,Delayed,
6661,D,Ship,4,1,261,3,low,female,10.0%,5943,Delayed,
6662,F,Ship,3,1,200,2,medium,male,8.0%,4337,Delayed,
6663,A,Ship,4,1,200,4,medium,male,3.0%,5837,Delayed,
6664,B,Ship,2,1,143,3,low,male,4.0%,4512,Delayed,
6665,C,Ship,3,4,199,3,low,male,7.0%,5089,Delayed,
6666,F,Ship,4,5,157,3,medium,male,2.0%,5791,On Time,
6667,D,Ship,3,2,225,3,high,male,5.0%,4304,On Time,
6668,F,Ship,3,3,152,2,medium,male,3.0%,4193,On Time,
6669,A,Ship,4,4,236,2,medium,female,6.0%,5101,On Time,
6670,B,Ship,3,1,266,5,low,male,1.0%,5459,Delayed,
6671,C,Ship,3,2,243,4,medium,male,4.0%,4410,On Time,
6672,F,Ship,4,5,224,6,high,female,5.0%,5659,On Time,
6673,D,Ship,3,5,153,4,low,female,10.0%,5897,Delayed,
6674,F,Ship,4,2,232,3,medium,female,7.0%,5737,On Time,
6675,A,Ship,3,3,253,3,medium,male,5.0%,4754,On Time,
6676,B,Ship,3,3,150,3,low,male,5.0%,5328,Delayed,
6677,C,Ship,4,3,198,2,low,male,5.0%,5724,On Time,
6678,F,Ship,4,4,231,3,low,male,9.0%,4305,On Time,
6679,D,Ship,3,5,135,2,medium,female,9.0%,5614,On Time,
6680,F,Ship,5,4,153,3,low,male,5.0%,4711,On Time,
6681,A,Ship,4,2,201,2,low,male,3.0%,4869,On Time,
6682,B,Ship,4,4,273,2,medium,male,6.0%,5676,On Time,
6683,C,Ship,5,4,245,3,high,male,4.0%,4298,Delayed,
6684,F,Ship,4,4,157,2,low,male,9.0%,4491,On Time,
6685,D,Ship,4,3,150,2,high,female,8.0%,4965,On Time,
6686,F,Ship,3,3,243,2,low,male,3.0%,4675,On Time,
6687,A,Road,4,5,105,5,high,male,4.0%,5824,On Time,
6688,B,Road,5,4,221,5,low,male,6.0%,5059,Delayed,
6689,C,Road,3,1,236,6,medium,female,10.0%,4858,Delayed,
6690,F,Road,4,4,263,3,medium,male,5.0%,4193,Delayed,
6691,D,Road,3,3,213,2,low,male,10.0%,5495,Delayed,
6692,F,Road,6,1,259,3,low,female,3.0%,5683,Delayed,
6693,A,Road,4,2,190,3,medium,male,7.0%,4766,Delayed,
6694,B,Road,3,5,213,4,medium,male,9.0%,5550,On Time,
6695,C,Road,5,3,261,4,medium,female,5.0%,4623,On Time,
6696,F,Road,3,5,254,3,medium,male,5.0%,4946,Delayed,
6697,D,Road,3,4,151,4,medium,female,1.0%,4587,On Time,
6698,F,Road,5,1,187,4,medium,female,9.0%,5657,On Time,
6699,A,Road,4,5,139,2,medium,female,1.0%,4606,Delayed,
6700,B,Road,5,2,173,2,high,female,10.0%,4741,Delayed,
6701,C,Road,3,3,136,3,low,male,10.0%,5175,Delayed,
6702,F,Road,4,1,272,4,high,male,1.0%,5597,Delayed,
6703,D,Road,6,4,116,3,low,male,6.0%,4649,Delayed,
6704,F,Road,4,2,181,3,low,male,10.0%,4212,On Time,
6705,A,Road,5,3,230,3,medium,male,4.0%,4914,On Time,
6706,B,Road,2,5,127,3,medium,female,3.0%,5964,Delayed,
6707,C,Road,3,1,182,3,low,male,2.0%,5760,Delayed,
6708,F,Road,3,1,186,2,medium,female,7.0%,4556,Delayed,
6709,D,Flight,5,1,271,4,low,male,3.0%,4610,On Time,
6710,F,Flight,5,3,171,2,medium,female,1.0%,5385,On Time,
6711,A,Flight,4,3,238,2,medium,female,2.0%,5328,Delayed,
6712,B,Flight,4,4,184,3,low,male,8.0%,4453,On Time,
6713,C,Flight,5,2,214,2,low,female,8.0%,4767,Delayed,
6714,F,Flight,4,4,279,6,medium,male,5.0%,4898,On Time,
6715,D,Flight,3,2,168,4,low,female,1.0%,4184,On Time,
6716,F,Flight,6,4,221,5,medium,male,8.0%,4511,On Time,
6717,A,Flight,3,5,260,3,medium,male,7.0%,5379,On Time,
6718,B,Flight,4,3,204,3,medium,male,2.0%,5010,Delayed,
6719,C,Flight,4,2,142,3,medium,female,6.0%,4918,Delayed,
6720,F,Flight,4,3,178,3,medium,male,3.0%,5669,Delayed,
6721,D,Flight,2,1,203,3,medium,male,6.0%,4234,Delayed,
6722,F,Flight,4,2,180,4,medium,male,9.0%,4329,Delayed,
6723,A,Flight,4,4,193,3,medium,female,3.0%,4596,Delayed,
6724,B,Flight,5,4,99,2,high,female,4.0%,4259,Delayed,
6725,C,Flight,3,1,250,3,low,male,1.0%,4347,Delayed,
6726,F,Flight,4,1,152,3,medium,female,3.0%,4250,On Time,
6727,D,Flight,4,1,265,2,low,female,10.0%,5418,On Time,
6728,F,Flight,2,3,226,2,medium,male,2.0%,4566,Delayed,
6729,A,Flight,3,3,234,3,low,male,3.0%,4405,Delayed,
6730,B,Flight,4,3,225,2,high,female,4.0%,4732,Delayed,
6731,C,Ship,3,5,161,2,medium,male,9.0%,4623,Delayed,
6732,F,Ship,5,2,246,3,medium,female,10.0%,5110,Delayed,
6733,D,Ship,4,5,162,3,medium,female,10.0%,4850,On Time,
6734,F,Ship,4,4,135,3,medium,male,2.0%,5016,Delayed,
6735,A,Ship,4,3,201,2,low,female,10.0%,4875,Delayed,
6736,B,Ship,6,4,235,6,low,male,1.0%,5533,On Time,
6737,C,Ship,5,2,214,2,low,female,10.0%,5192,Delayed,
6738,F,Ship,6,3,245,5,medium,female,8.0%,5678,On Time,
6739,D,Ship,5,5,192,2,low,male,10.0%,5564,Delayed,
6740,F,Ship,5,5,179,5,low,male,3.0%,4333,On Time,
6741,A,Ship,6,3,210,4,medium,male,9.0%,5440,Delayed,
6742,B,Ship,3,2,209,2,medium,female,2.0%,4635,Delayed,
6743,C,Ship,4,2,200,3,medium,male,7.0%,4323,Delayed,
6744,F,Ship,6,3,165,5,medium,male,5.0%,4871,Delayed,
6745,D,Ship,3,5,168,3,medium,male,7.0%,4296,Delayed,
6746,F,Ship,4,4,203,2,low,female,10.0%,5192,Delayed,
6747,A,Ship,4,5,202,3,medium,male,8.0%,5416,Delayed,
6748,B,Ship,4,2,266,3,medium,female,2.0%,5252,On Time,
6749,C,Ship,2,1,248,6,low,female,2.0%,5182,Delayed,
6750,F,Ship,5,3,173,3,low,male,5.0%,5395,Delayed,
6751,D,Ship,2,4,156,3,medium,female,8.0%,5668,On Time,
6752,F,Ship,3,5,109,2,high,male,2.0%,5978,On Time,
6753,A,Ship,3,4,250,3,low,male,6.0%,4830,On Time,
6754,B,Ship,2,4,195,4,medium,male,3.0%,5641,On Time,
6755,C,Ship,4,1,160,5,low,female,10.0%,4018,On Time,
6756,F,Ship,2,5,189,3,low,female,5.0%,5320,Delayed,
6757,D,Ship,4,3,239,3,medium,male,9.0%,5897,On Time,
6758,F,Ship,3,3,204,2,medium,female,5.0%,5399,Delayed,
6759,A,Ship,4,5,156,3,low,male,5.0%,4610,Delayed,
6760,B,Ship,5,2,192,3,high,female,7.0%,5695,On Time,
6761,C,Ship,4,2,233,2,low,male,7.0%,5546,On Time,
6762,F,Ship,5,3,253,3,low,female,3.0%,5944,On Time,
6763,D,Ship,2,1,277,6,low,male,10.0%,4165,Delayed,
6764,F,Ship,4,2,211,2,low,female,9.0%,5883,On Time,
6765,A,Ship,6,4,172,6,medium,female,10.0%,5554,On Time,
6766,B,Ship,5,4,211,4,low,female,4.0%,4498,On Time,
6767,C,Ship,2,3,248,4,high,female,2.0%,4521,Delayed,
6768,F,Ship,3,4,176,3,medium,male,4.0%,5623,Delayed,
6769,D,Ship,4,1,100,6,medium,male,6.0%,5841,Delayed,
6770,F,Ship,5,5,195,4,low,female,1.0%,4393,On Time,
6771,A,Ship,3,2,137,3,low,female,4.0%,5617,Delayed,
6772,B,Ship,4,4,195,4,medium,male,2.0%,5464,Delayed,
6773,C,Ship,2,5,185,3,low,female,9.0%,5810,Delayed,
6774,F,Ship,3,1,250,2,medium,female,9.0%,4753,Delayed,
6775,D,Ship,3,2,150,3,low,male,2.0%,4660,On Time,
6776,F,Ship,3,1,166,3,medium,female,9.0%,4251,Delayed,
6777,A,Ship,4,5,257,2,medium,male,5.0%,4127,Delayed,
6778,B,Ship,5,1,249,3,medium,female,5.0%,4392,Delayed,
6779,C,Ship,5,5,268,3,medium,female,7.0%,4480,On Time,
6780,F,Ship,4,4,273,3,low,female,3.0%,5749,On Time,
6781,D,Ship,5,5,246,3,medium,female,9.0%,4107,Delayed,
6782,F,Ship,5,1,142,6,medium,male,1.0%,4843,On Time,
6783,A,Ship,5,2,168,2,low,male,6.0%,5464,On Time,
6784,B,Ship,5,2,249,3,low,male,9.0%,5978,On Time,
6785,C,Ship,3,1,220,3,medium,female,6.0%,5319,Delayed,
6786,F,Ship,4,3,189,2,low,female,7.0%,4765,Delayed,
6787,D,Ship,5,2,237,4,low,male,5.0%,5623,On Time,
6788,F,Ship,4,4,247,3,high,female,2.0%,5324,On Time,
6789,A,Ship,3,4,250,6,medium,male,1.0%,4543,On Time,
6790,B,Ship,4,4,207,10,low,female,1.0%,4602,Delayed,
6791,C,Ship,4,4,201,10,low,male,3.0%,4202,Delayed,
6792,F,Ship,4,2,142,2,low,male,6.0%,5326,Delayed,
6793,D,Ship,3,1,207,2,low,male,7.0%,4639,Delayed,
6794,F,Ship,3,1,214,2,high,female,10.0%,4310,Delayed,
6795,A,Ship,4,3,134,10,medium,male,8.0%,4337,Delayed,
6796,B,Ship,3,4,178,8,medium,female,6.0%,4146,Delayed,
6797,C,Ship,4,1,186,2,low,male,4.0%,4686,On Time,
6798,F,Ship,4,4,250,3,low,male,10.0%,4505,Delayed,
6799,D,Ship,4,3,172,3,medium,female,10.0%,5434,Delayed,
6800,F,Ship,3,4,265,10,low,male,10.0%,4049,Delayed,
6801,A,Ship,3,2,158,7,medium,male,10.0%,4244,On Time,
6802,B,Ship,3,1,180,7,medium,male,10.0%,5536,Delayed,
6803,C,Ship,4,2,173,3,high,female,3.0%,5364,Delayed,
6804,F,Ship,3,3,153,10,medium,male,10.0%,5772,Delayed,
6805,D,Ship,4,4,182,3,high,female,7.0%,5197,Delayed,
6806,F,Ship,3,1,192,3,low,female,9.0%,5004,Delayed,
6807,A,Ship,6,5,285,7,medium,male,9.0%,4112,Delayed,
6808,B,Ship,3,3,151,6,low,female,6.0%,4279,Delayed,
6809,C,Ship,3,3,242,2,low,female,7.0%,4501,Delayed,
6810,F,Ship,3,1,237,3,medium,female,4.0%,5860,Delayed,
6811,D,Ship,5,2,259,5,low,female,7.0%,1032,Delayed,
6812,F,Ship,4,3,249,6,low,male,2.0%,1046,On Time,
6813,A,Ship,6,3,289,4,high,female,5.0%,1708,Delayed,
6814,B,Ship,6,3,308,5,medium,female,4.0%,1118,Delayed,
6815,C,Ship,6,3,297,4,medium,male,2.0%,1954,Delayed,
6816,F,Ship,4,1,255,5,low,female,4.0%,1005,Delayed,
6817,D,Ship,6,1,266,4,low,male,9.0%,1287,Delayed,
6818,F,Ship,7,2,302,4,low,male,6.0%,1632,Delayed,
6819,A,Ship,4,5,223,5,medium,female,6.0%,1579,On Time,
6820,B,Ship,6,5,261,4,low,female,9.0%,1266,On Time,
6821,C,Ship,4,4,273,5,low,male,10.0%,1316,Delayed,
6822,F,Ship,6,3,260,4,low,male,9.0%,1131,On Time,
6823,D,Ship,5,2,266,5,low,female,1.0%,1504,On Time,
6824,F,Road,2,1,164,5,low,male,4.0%,1708,Delayed,
6825,A,Road,5,3,240,6,medium,female,3.0%,1321,Delayed,
6826,B,Road,6,3,305,4,medium,female,9.0%,1479,On Time,
6827,C,Road,5,4,248,5,low,female,3.0%,1471,On Time,
6828,F,Road,7,3,279,4,medium,male,8.0%,1060,Delayed,
6829,D,Road,5,4,244,6,low,female,10.0%,1978,On Time,
6830,F,Road,5,4,267,5,low,male,9.0%,1017,Delayed,
6831,A,Road,7,1,275,4,medium,male,7.0%,1754,Delayed,
6832,B,Road,5,1,168,2,low,female,10.0%,4240,Delayed,
6833,C,Road,5,2,249,3,low,male,2.0%,4696,Delayed,
6834,F,Road,3,2,220,3,medium,male,7.0%,4555,On Time,
6835,D,Road,4,4,189,2,low,male,5.0%,4553,Delayed,
6836,F,Road,5,2,237,4,low,female,9.0%,5922,Delayed,
6837,A,Road,4,3,247,3,high,female,1.0%,5214,Delayed,
6838,B,Road,3,3,250,6,medium,male,9.0%,5322,On Time,
6839,C,Road,4,3,207,10,low,female,9.0%,4179,Delayed,
6840,F,Road,4,5,201,10,low,female,7.0%,5340,Delayed,
6841,D,Road,4,5,142,2,low,male,2.0%,4472,Delayed,
6842,F,Road,3,4,207,2,low,male,6.0%,5852,On Time,
6843,A,Road,3,2,214,2,high,female,7.0%,4938,Delayed,
6844,B,Road,4,5,134,10,medium,male,5.0%,4244,Delayed,
6845,C,Road,3,3,178,8,medium,male,8.0%,4774,On Time,
6846,F,Flight,4,2,186,2,low,male,2.0%,5604,On Time,
6847,D,Flight,4,2,250,3,low,male,5.0%,4488,On Time,
6848,F,Flight,4,1,172,3,medium,female,10.0%,5106,On Time,
6849,A,Flight,3,5,265,10,low,male,6.0%,4380,Delayed,
6850,B,Flight,3,1,158,7,medium,female,6.0%,4166,Delayed,
6851,C,Flight,3,3,180,7,medium,female,4.0%,5068,On Time,
6852,F,Flight,4,1,173,3,high,male,1.0%,5749,Delayed,
6853,D,Flight,3,4,153,10,medium,female,4.0%,5456,On Time,
6854,F,Flight,4,3,182,3,high,female,3.0%,5624,Delayed,
6855,A,Flight,3,5,192,3,low,female,7.0%,4056,On Time,
6856,B,Flight,6,3,285,7,medium,male,7.0%,5030,On Time,
6857,C,Flight,3,5,151,6,low,male,8.0%,4692,On Time,
6858,F,Flight,3,5,242,2,low,male,1.0%,5803,On Time,
6859,D,Flight,3,1,237,3,medium,female,1.0%,4476,On Time,
6860,F,Flight,5,4,259,5,low,male,10.0%,1177,Delayed,
6861,A,Flight,4,2,249,6,low,female,9.0%,1673,On Time,
6862,B,Flight,6,4,289,4,high,female,4.0%,1822,Delayed,
6863,C,Flight,6,2,308,5,medium,male,4.0%,1303,Delayed,
6864,F,Flight,6,3,297,4,medium,male,1.0%,1080,Delayed,
6865,D,Flight,4,3,255,5,low,male,1.0%,1192,Delayed,
6866,F,Flight,6,3,266,4,low,female,9.0%,1876,Delayed,
6867,A,Flight,7,1,302,4,low,male,4.0%,1647,Delayed,
6868,B,Ship,4,4,223,5,medium,male,1.0%,1124,On Time,
6869,C,Ship,6,4,261,4,low,female,5.0%,1794,On Time,
6870,F,Ship,4,2,273,5,low,female,4.0%,1223,On Time,
6871,D,Ship,6,3,260,4,low,female,10.0%,1140,Delayed,
6872,F,Ship,5,2,266,5,low,female,10.0%,1274,On Time,
6873,A,Ship,2,3,164,5,low,male,7.0%,1243,Delayed,
6874,B,Ship,5,2,240,6,medium,female,2.0%,1852,On Time,
6875,C,Ship,6,5,305,4,medium,female,9.0%,1072,Delayed,
6876,F,Ship,5,2,248,5,low,male,4.0%,1284,On Time,
6877,D,Ship,7,2,279,4,medium,male,5.0%,1210,Delayed,
6878,F,Ship,5,2,244,6,low,male,5.0%,1702,On Time,
6879,A,Ship,5,1,237,5,medium,female,2.0%,1429,On Time,
6880,B,Ship,4,2,251,6,medium,female,1.0%,1154,On Time,
6881,C,Ship,4,4,247,6,low,female,4.0%,1044,Delayed,
6882,F,Ship,5,2,262,6,medium,female,4.0%,1532,On Time,
6883,D,Ship,5,3,223,5,medium,male,10.0%,1170,On Time,
6884,F,Ship,5,5,275,5,low,female,3.0%,1145,Delayed,
6885,A,Ship,6,3,139,6,medium,female,8.0%,1284,On Time,
6886,B,Ship,4,3,245,6,low,female,3.0%,1155,Delayed,
6887,C,Ship,6,3,278,4,high,female,3.0%,1033,Delayed,
6888,F,Ship,5,3,243,5,low,male,2.0%,1776,On Time,
6889,D,Ship,7,3,309,4,low,female,1.0%,1290,On Time,
6890,F,Ship,6,2,279,4,low,male,1.0%,1150,On Time,
6891,A,Ship,6,3,247,4,medium,male,3.0%,1903,Delayed,
6892,B,Ship,5,1,235,5,medium,female,6.0%,1059,On Time,
6893,C,Ship,5,5,268,5,medium,female,10.0%,1906,Delayed,
6894,F,Ship,6,1,309,4,medium,male,9.0%,1305,Delayed,
6895,D,Ship,6,5,308,4,low,male,2.0%,1125,On Time,
6896,F,Ship,5,5,237,5,high,female,2.0%,1593,On Time,
6897,A,Ship,6,2,291,4,low,male,9.0%,1241,On Time,
6898,B,Ship,4,2,264,5,medium,female,6.0%,1736,On Time,
6899,C,Ship,2,2,212,4,medium,female,3.0%,1284,On Time,
6900,F,Ship,4,5,196,4,low,male,10.0%,1694,On Time,
6901,D,Ship,5,5,260,5,low,female,6.0%,1860,Delayed,
6902,F,Ship,6,5,266,4,low,female,6.0%,1201,Delayed,
6903,A,Ship,5,2,254,5,high,male,6.0%,1491,On Time,
6904,B,Ship,5,2,249,5,low,female,8.0%,1018,On Time,
6905,C,Ship,6,5,279,4,medium,male,7.0%,1300,Delayed,
6906,F,Ship,6,3,306,4,high,female,5.0%,1261,On Time,
6907,D,Ship,4,5,249,5,medium,male,3.0%,1530,On Time,
6908,F,Ship,6,4,297,4,low,female,9.0%,1249,On Time,
6909,A,Ship,6,1,273,4,low,male,6.0%,1561,Delayed,
6910,B,Ship,6,4,299,4,low,female,9.0%,1817,Delayed,
6911,C,Ship,5,5,240,5,medium,male,10.0%,1574,On Time,
6912,F,Ship,5,4,260,6,low,female,2.0%,1765,Delayed,
6913,D,Ship,5,1,251,5,low,female,7.0%,1924,On Time,
6914,F,Ship,5,5,256,5,medium,male,2.0%,1693,On Time,
6915,A,Ship,5,2,226,5,medium,male,5.0%,1659,Delayed,
6916,B,Ship,5,3,262,5,low,female,10.0%,1197,On Time,
6917,C,Ship,7,4,261,5,low,male,6.0%,1334,Delayed,
6918,F,Ship,2,2,181,2,low,female,6.0%,1324,On Time,
6919,D,Ship,6,1,254,4,medium,female,6.0%,1928,On Time,
6920,F,Ship,6,1,288,4,medium,male,8.0%,1806,On Time,
6921,A,Ship,6,3,245,4,low,male,10.0%,1798,Delayed,
6922,B,Ship,5,3,252,2,medium,male,9.0%,1809,Delayed,
6923,C,Ship,4,1,293,3,low,male,8.0%,1326,On Time,
6924,F,Ship,5,3,253,4,low,male,9.0%,1729,Delayed,
6925,D,Ship,6,1,245,4,low,female,10.0%,1606,Delayed,
6926,F,Ship,6,4,247,4,medium,male,3.0%,1946,Delayed,
6927,A,Ship,5,4,274,5,low,male,7.0%,1371,On Time,
6928,B,Ship,6,4,283,4,low,female,8.0%,1480,Delayed,
6929,C,Ship,6,4,286,4,low,female,8.0%,1690,On Time,
6930,F,Ship,5,4,257,5,low,male,10.0%,1695,On Time,
6931,D,Ship,5,2,258,5,low,female,2.0%,1232,On Time,
6932,F,Ship,4,2,201,3,medium,female,6.0%,5616,On Time,
6933,A,Ship,3,1,231,3,low,male,1.0%,5392,On Time,
6934,B,Ship,4,5,161,2,high,female,5.0%,5133,On Time,
6935,C,Ship,5,1,250,3,low,male,8.0%,5845,Delayed,
6936,F,Ship,4,2,169,6,low,female,6.0%,4179,Delayed,
6937,D,Ship,4,4,191,2,low,male,1.0%,4318,On Time,
6938,F,Ship,4,2,271,3,medium,female,4.0%,4186,On Time,
6939,A,Ship,5,4,271,3,low,male,3.0%,5218,On Time,
6940,B,Ship,4,2,224,3,low,male,1.0%,5821,Delayed,
6941,C,Ship,3,5,276,5,low,female,10.0%,5302,On Time,
6942,F,Ship,4,1,264,2,low,female,3.0%,5258,Delayed,
6943,D,Ship,5,2,185,3,low,male,10.0%,4354,Delayed,
6944,F,Ship,3,3,253,2,low,male,5.0%,4112,On Time,
6945,A,Ship,3,5,155,4,low,female,1.0%,4432,On Time,
6946,B,Ship,4,1,219,3,low,female,5.0%,5632,Delayed,
6947,C,Ship,3,2,204,4,medium,male,7.0%,4768,Delayed,
6948,F,Ship,4,1,196,4,low,female,3.0%,5496,Delayed,
6949,D,Ship,3,4,205,5,low,female,4.0%,4483,Delayed,
6950,F,Ship,3,4,187,3,low,female,9.0%,4725,On Time,
6951,A,Ship,3,1,221,2,medium,female,6.0%,5267,Delayed,
6952,B,Ship,5,4,143,3,medium,female,1.0%,5165,On Time,
6953,C,Ship,5,3,135,3,high,male,4.0%,5858,Delayed,
6954,F,Ship,3,1,207,2,low,female,7.0%,5596,Delayed,
6955,D,Ship,3,2,245,2,low,female,7.0%,4692,Delayed,
6956,F,Ship,5,2,257,3,low,female,2.0%,4677,On Time,
6957,A,Ship,3,1,186,3,high,female,1.0%,5694,On Time,
6958,B,Ship,5,2,246,3,low,male,2.0%,4054,On Time,
6959,C,Ship,3,4,255,2,low,male,2.0%,4504,Delayed,
6960,F,Ship,5,3,206,3,low,female,1.0%,4645,Delayed,
6961,D,Road,3,1,178,4,medium,male,9.0%,4298,Delayed,
6962,F,Road,5,2,274,2,low,female,5.0%,4154,Delayed,
6963,A,Road,3,1,269,4,low,female,7.0%,5107,Delayed,
6964,B,Road,5,1,282,4,low,female,9.0%,4766,Delayed,
6965,C,Road,2,4,108,5,high,male,5.0%,4874,On Time,
6966,F,Road,4,5,268,6,medium,female,7.0%,4709,Delayed,
6967,D,Road,2,3,215,2,medium,female,3.0%,5052,On Time,
6968,F,Road,4,1,169,4,low,male,1.0%,5323,Delayed,
6969,A,Road,3,4,165,3,low,female,4.0%,4482,Delayed,
6970,B,Road,4,4,192,4,low,female,2.0%,5856,On Time,
6971,C,Road,4,3,206,2,low,male,9.0%,5076,On Time,
6972,F,Road,3,5,151,2,medium,male,8.0%,4408,On Time,
6973,D,Road,3,4,150,3,low,female,5.0%,4950,Delayed,
6974,F,Road,4,3,250,3,low,male,10.0%,4316,Delayed,
6975,A,Road,5,3,168,3,medium,female,2.0%,5986,On Time,
6976,B,Road,4,1,137,2,low,male,3.0%,4657,Delayed,
6977,C,Road,6,5,148,4,low,male,1.0%,5216,On Time,
6978,F,Road,6,2,215,5,low,female,7.0%,4057,Delayed,
6979,D,Road,4,2,269,2,medium,female,2.0%,4013,On Time,
6980,F,Road,3,5,139,3,low,female,1.0%,4060,On Time,
6981,A,Road,4,1,205,5,low,male,10.0%,4944,Delayed,
6982,B,Road,5,4,212,2,low,female,9.0%,4925,Delayed,
6983,C,Flight,3,3,136,2,medium,male,10.0%,5749,Delayed,
6984,F,Flight,3,3,231,3,medium,female,4.0%,4088,Delayed,
6985,D,Flight,4,4,215,2,low,female,7.0%,5151,On Time,
6986,F,Flight,4,4,179,3,medium,female,3.0%,5624,Delayed,
6987,A,Flight,3,2,223,4,medium,male,3.0%,5374,Delayed,
6988,B,Flight,3,5,210,3,low,male,6.0%,5566,Delayed,
6989,C,Flight,4,5,133,3,high,female,8.0%,5653,On Time,
6990,F,Flight,3,1,187,2,low,female,8.0%,4292,On Time,
6991,D,Flight,4,1,256,2,medium,male,2.0%,5630,Delayed,
6992,F,Flight,4,5,138,2,low,male,10.0%,4788,Delayed,
6993,A,Flight,3,4,198,3,medium,male,7.0%,4020,Delayed,
6994,B,Flight,5,5,256,3,medium,female,6.0%,4145,On Time,
6995,C,Flight,4,3,254,2,low,male,3.0%,5546,Delayed,
6996,F,Flight,4,1,267,2,medium,male,9.0%,5230,On Time,
6997,D,Flight,3,2,286,6,high,female,5.0%,5588,Delayed,
6998,F,Flight,3,2,215,4,low,female,3.0%,4042,Delayed,
6999,A,Flight,5,5,222,3,medium,male,5.0%,4949,Delayed,
